Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude
1865 Cerberus,Apollo Asteroid,57800,1.08,0.467,16.0951,325.2523,212.9288,29.5707,0.5757,1.58,1.12,0.1566,123,16.84
1866 Sisyphus,Apollo Asteroid,57800,1.8936,0.5386,41.2016,293.1011,63.4983,10.2531,0.8737,2.91,2.61,0.1036,484,12.4
1915 Quetzalcoatl,Amor Asteroid,57800,2.5444,0.5705,20.402,347.8759,162.9529,323.9285,1.0929,4,4.06,0.1087,10,18.97
1916 Boreas,Amor Asteroid,57800,2.272,0.4499,12.8874,335.8597,340.6421,194.5408,1.2497,3.29,3.42,0.252,163,14.93
1917 Cuyo,Amor Asteroid,57800,2.1497,0.5054,23.9626,194.5106,188.3179,239.1289,1.0632,3.24,3.15,0.0736,316,13.9
1943 Anteros,Amor Asteroid,57800,1.4305,0.256,8.7059,338.3606,246.3344,216.9534,1.0643,1.8,1.71,0.0625,416,15.75
1980 Tezcatlipoca,Amor Asteroid,57800,1.7096,0.3648,26.8661,115.4648,246.5761,240.4225,1.086,2.33,2.24,0.2458,330,13.92
1981 Midas,Apollo Asteroid (Hazard),57800,1.776,0.6501,39.8325,267.792,356.9033,173.1886,0.6214,2.93,2.37,0.0036,118,15.2
2059 Baboquivari,Amor Asteroid,57800,2.6513,0.5296,11.0606,191.529,200.9252,131.3827,1.2472,4.06,4.32,0.2553,107,16
2061 Anza,Amor Asteroid,57800,2.268,0.5361,3.7894,156.8609,207.4258,194.0698,1.0522,3.48,3.42,0.0572,65,16.56
2062 Aten,Aten Asteroid,55926,0.9668,0.1827,18.9337,148.0354,108.6004,172.2678,0.7901,1.14,0.95,0.1131,148,16.8
2063 Bacchus,Apollo Asteroid,57800,1.0779,0.3494,9.433,55.3137,33.1037,297.0043,0.7014,1.45,1.12,0.0673,114,17.3
2100 Ra-Shalom,Aten Asteroid,53847,0.832,0.4365,15.7558,355.9851,170.8843,320.1347,0.4689,1.2,0.76,0.1494,180,16.05
2101 Adonis,Apollo Asteroid (Hazard),57800,1.8741,0.7646,1.3264,43.388,349.6949,235.1586,0.4412,3.31,2.57,0.0116,33,18.8
2102 Tantalus,Apollo Asteroid (Hazard),57800,1.2902,0.2992,64.0028,61.5507,94.3659,354.8537,0.9042,1.68,1.47,0.0436,121,16
2135 Aristaeus,Apollo Asteroid (Hazard),57800,1.5996,0.5029,23.0619,290.8781,191.2178,278.3233,0.7952,2.4,2.02,0.0101,18,17.94
2201 Oljato,Apollo Asteroid (Hazard),57800,2.175,0.7131,2.5224,98.2566,74.9955,194.2562,0.6241,3.73,3.21,0.0031,183,15.25
2202 Pele,Amor Asteroid,57800,2.2894,0.5131,8.7454,217.9419,169.9829,279.6465,1.1147,3.46,3.46,0.1434,34,17.2
2212 Hephaistos,Apollo Asteroid,57800,2.1596,0.8376,11.5597,209.3465,27.5622,36.3423,0.3506,3.97,3.17,0.1162,377,13.87
2329 Orthos,Apollo Asteroid,57800,2.4101,0.6535,24.4578,145.9951,169.3185,308.2354,0.8351,3.99,3.74,0.0925,126,14.6
2340 Hathor,Aten Asteroid (Hazard),53228,0.8438,0.4499,5.8546,39.9263,211.5421,42.1044,0.4642,1.22,0.78,0.0069,60,20.2
2368 Beltrovata,Amor Asteroid,57800,2.1051,0.413,5.2223,43.08,287.3397,335.1006,1.2356,2.97,3.05,0.2342,183,15.21
2608 Seneca,Amor Asteroid,57800,2.5155,0.5715,14.6817,37.3426,167.3698,303.7071,1.0778,3.95,3.99,0.1309,16,17.52
3102 Krok,Amor Asteroid,57800,2.1506,0.4495,8.4439,154.7783,172.0874,86.8435,1.1839,3.12,3.15,0.184,129,16.2
3103 Eger,Apollo Asteroid,57800,1.4042,0.3543,20.9309,254.0212,129.7888,85.5286,0.9067,1.9,1.66,0.0797,396,15.38
3122 Florence,Amor Asteroid (Hazard),57800,1.7684,0.423,22.1502,27.8142,336.1007,267.6154,1.0205,2.52,2.35,0.0453,357,14.1
3199 Nefertiti,Amor Asteroid,57800,1.5746,0.284,32.9668,53.3852,340.0225,122.1592,1.1274,2.02,1.98,0.2167,229,14.84
3200 Phaethon,Apollo Asteroid (Hazard),57800,1.2712,0.8899,22.2481,322.1625,265.2412,123.9029,0.1399,2.4,1.43,0.0196,556,14.6
3271 Ul,Amor Asteroid,57800,2.1011,0.396,25.0748,159.0898,158.8421,118.6002,1.2691,2.93,3.05,0.2763,46,16.5
3288 Seleucus,Amor Asteroid,57800,2.0329,0.4563,5.9306,349.2877,218.6552,9.1669,1.1052,2.96,2.9,0.1016,283,15.3
3352 McAuliffe,Amor Asteroid,57800,1.8789,0.369,4.7726,15.9394,107.3759,356.5415,1.1856,2.57,2.58,0.203,233,15.8
3360 Syrinx,Apollo Asteroid,57800,2.4665,0.7455,21.1579,63.4658,242.5484,57.1119,0.6278,4.31,3.87,0.1074,105,15.9
3361 Orpheus,Apollo Asteroid (Hazard),54630,1.2094,0.3229,2.6849,301.6506,189.6022,283.4077,0.8189,1.6,1.33,0.0139,92,19.03
3362 Khufu,Aten Asteroid (Hazard),57800,0.9895,0.4686,9.9172,55.0405,152.451,76.2806,0.5259,1.45,0.98,0.0137,22,18.3
3551 Verenia,Amor Asteroid,57800,2.0922,0.4879,9.5156,193.2442,173.8402,11.4153,1.0715,3.11,3.03,0.0738,80,16.75
3552 Don Quixote,Amor Asteroid,57800,4.2574,0.7092,31.129,316.4681,350.0375,310.0227,1.2379,7.28,8.78,0.3327,143,12.9
3553 Mera,Amor Asteroid,57800,1.6445,0.3202,36.7726,288.898,232.5351,61.0983,1.1179,2.17,2.11,0.2944,137,16.4
3554 Amun,Aten Asteroid,57800,0.9737,0.2805,23.3621,359.4064,358.626,235.1222,0.7006,1.25,0.96,0.2503,253,15.82
3671 Dionysus,Apollo Asteroid (Hazard),57800,2.1989,0.5411,13.5311,204.2415,82.0883,5.2914,1.0091,3.39,3.26,0.0221,80,16.5
3691 Bede,Amor Asteroid,57800,1.7743,0.2843,20.3608,234.9128,348.7662,257.6106,1.2699,2.28,2.36,0.3513,342,14.7
3752 Camillo,Apollo Asteroid,57800,1.4133,0.3017,55.5586,312.2147,147.9761,166.632,0.987,1.84,1.68,0.0782,160,15.3
3753 Cruithne,Aten Asteroid,57800,0.9977,0.5149,19.8065,43.8266,126.2368,59.6651,0.484,1.51,1,0.0714,128,15.6
3757 Anagolay,Amor Asteroid (Hazard),57800,1.8347,0.4455,3.8679,17.1578,74.971,263.2948,1.0174,2.65,2.49,0.0379,41,18.95
3838 Epona,Apollo Asteroid,57800,1.5049,0.7023,29.2085,49.6815,235.5098,170.9887,0.448,2.56,1.85,0.1602,104,15.6
3908 Nyx,Amor Asteroid,53578,1.9272,0.4591,2.1767,125.9784,261.6883,99.7699,1.0424,2.81,2.68,0.0563,167,17.3
3988 Huma,Amor Asteroid,57800,1.5445,0.3165,10.7679,86.9076,229.8205,318.5706,1.0556,2.03,1.92,0.1781,121,17.9
4015 Wilson-Harrington,Apollo Asteroid (Hazard),57800,2.631,0.6306,2.7884,95.0341,267.0649,253.4346,0.972,4.29,4.27,0.0435,168,15.99
4034 Vishnu,Apollo Asteroid (Hazard),55587,1.0597,0.4439,11.1701,296.58,158.0037,50.8081,0.5893,1.53,1.09,0.0193,73,18.4
4055 Magellan,Amor Asteroid,57800,1.8205,0.3262,23.2555,154.3557,164.8509,223.6604,1.2266,2.41,2.46,0.2404,421,14.7
4179 Toutatis,Apollo Asteroid (Hazard),57800,2.5354,0.6294,0.4472,278.7184,124.3715,19.5825,0.9395,4.13,4.04,0.0061,499,15.3
4183 Cuno,Apollo Asteroid (Hazard),57800,1.9824,0.6344,6.7049,236.3255,294.9048,267.6636,0.7248,3.24,2.79,0.0285,349,14.4
4197 Morpheus,Apollo Asteroid,57800,2.2968,0.7716,12.5774,122.4106,7.1831,283.2534,0.5245,4.07,3.48,0.0988,89,14.6
4257 Ubasti,Apollo Asteroid,57800,1.6471,0.4682,40.7169,278.9205,169.2155,295.4192,0.8759,2.42,2.11,0.17,141,15.9
4341 Poseidon,Apollo Asteroid,57800,1.8353,0.6795,11.8507,15.6587,108.1106,13.885,0.5882,3.08,2.49,0.1939,97,16
4401 Aditi,Amor Asteroid,57800,2.5795,0.5648,26.6499,68.1528,22.9039,187.9737,1.1225,4.04,4.14,0.3302,130,16
4450 Pan,Apollo Asteroid (Hazard),57800,1.4423,0.5866,5.5198,291.7752,311.8487,38.9236,0.5962,2.29,1.73,0.0285,163,17.1
4486 Mithra,Apollo Asteroid (Hazard),57800,2.1997,0.6628,3.0393,168.867,82.2436,31.5289,0.7417,3.66,3.26,0.0462,181,15.6
4487 Pocahontas,Amor Asteroid,57800,1.7303,0.2969,16.4101,173.9474,198.1368,323.5083,1.2166,2.24,2.28,0.2195,116,17.4
4503 Cleobulus,Amor Asteroid,57800,2.7072,0.5231,2.5136,76.3739,46.0066,27.0156,1.2911,4.12,4.45,0.3107,96,15.6
4544 Xanthus,Apollo Asteroid,57800,1.042,0.2502,14.1466,333.8457,23.9917,279.8881,0.7813,1.3,1.06,0.1727,147,17.1
4581 Asclepius,Apollo Asteroid (Hazard),56805,1.0224,0.357,4.919,255.3017,180.2984,194.5489,0.6574,1.39,1.03,0.0036,60,20.7
4596 (1981 QB),Amor Asteroid,57800,2.2396,0.5196,37.0735,248.4076,154.255,186.5686,1.0759,3.4,3.35,0.2982,61,16.4
4660 Nereus,Apollo Asteroid (Hazard),57800,1.4887,0.36,1.4317,158.0288,314.4439,110.8313,0.9527,2.02,1.82,0.0032,101,18.2
4688 (1980 WF),Amor Asteroid,57800,2.235,0.515,6.3757,213.5669,241.3239,298.9296,1.084,3.39,3.34,0.1153,41,19.4
4769 Castalia,Apollo Asteroid (Hazard),57800,1.0633,0.4831,8.8853,121.3626,325.583,326.7886,0.5496,1.58,1.1,0.0206,87,16.9
4947 Ninkasi,Amor Asteroid,57800,1.37,0.1685,15.6532,192.8922,215.4571,223.6604,1.1391,1.6,1.6,0.1504,105,18
4953 (1990 MU),Apollo Asteroid (Hazard),57800,1.6211,0.6576,24.3892,77.7659,77.7254,28.1925,0.5551,2.69,2.06,0.0262,78,14.1
4954 Eric,Amor Asteroid,57800,2.0021,0.4485,17.4441,52.4609,358.5191,93.345,1.1042,2.9,2.83,0.1968,360,12.6
4957 Brucemurray,Amor Asteroid,57800,1.5655,0.2189,35.0067,97.465,254.9089,181.5376,1.2228,1.91,1.96,0.4258,78,14.9
5011 Ptah,Apollo Asteroid (Hazard),57800,1.6357,0.4998,7.4076,105.7489,10.7804,294.8061,0.8181,2.45,2.09,0.0251,139,16.4
5131 (1990 BG),Apollo Asteroid,57800,1.4861,0.5692,36.4245,135.8165,110.3898,274.7789,0.6402,2.33,1.81,0.2738,164,14.7
5143 Heracles,Apollo Asteroid,57800,1.8333,0.7724,9.0341,227.7615,309.5262,14.3383,0.4173,3.25,2.48,0.0584,391,14
5189 (1990 UQ),Apollo Asteroid (Hazard),57800,1.5515,0.478,3.5834,159.6391,135.3366,270.3701,0.8099,2.29,1.93,0.0444,82,17.9
5324 Lyapunov,Amor Asteroid,57800,2.9866,0.6049,19.6181,321.0035,352.3331,287.1193,1.1799,4.79,5.16,0.2315,37,15.5
5332 Davidaguilar,Amor Asteroid,57800,2.1629,0.4567,25.4745,305.8001,142.9225,192.7497,1.1752,3.15,3.18,0.3046,203,14.7
5370 Taranis,Amor Asteroid,57800,3.3274,0.6358,19.1315,161.2773,177.8466,355.4417,1.2118,5.44,6.07,0.2206,52,15.2
5381 Sekhmet,Aten Asteroid,57800,0.9474,0.2962,48.9687,37.4195,58.5422,86.7085,0.6668,1.23,0.92,0.1127,87,16.6
5496 (1973 NA),Apollo Asteroid,57800,2.4351,0.636,67.9976,118.0152,101.0493,189.0581,0.8865,3.98,3.8,0.0906,51,16
5587 (1990 SB),Amor Asteroid,57800,2.3975,0.5442,18.0962,86.7337,189.9791,80.5737,1.0927,3.7,3.71,0.3078,269,13.8
5590 (1990 VA),Aten Asteroid,57800,0.9856,0.2795,14.1861,34.4692,216.3036,85.6943,0.7102,1.26,0.98,0.1218,15,19.7
5604 (1992 FE),Aten Asteroid (Hazard),57800,0.9288,0.4061,4.7385,82.434,312.1147,66.1452,0.5516,1.31,0.9,0.0335,98,17.2
5620 Jasonwheeler,Amor Asteroid,57800,2.1593,0.4222,7.8704,153.7639,128.6968,142.2805,1.2476,3.07,3.17,0.2396,93,17
5626 (1991 FE),Amor Asteroid,57800,2.1956,0.4539,3.8542,231.4296,173.2631,71.9411,1.199,3.19,3.25,0.2157,369,14.2
5645 (1990 SP),Apollo Asteroid,57800,1.3549,0.3873,13.5073,48.187,45.7633,214.4208,0.8301,1.88,1.58,0.0534,108,17.1
5646 (1990 TR),Amor Asteroid,57800,2.1431,0.4368,7.9142,335.6807,14.1357,155.771,1.2071,3.08,3.14,0.2105,298,15.4
5653 Camarillo,Amor Asteroid,57800,1.7942,0.3042,6.8743,122.5188,9.9756,355.7133,1.2485,2.34,2.4,0.2834,241,16.1
5660 (1974 MA),Apollo Asteroid,57800,1.7855,0.7621,38.0679,126.9089,302.2911,281.3182,0.4247,3.15,2.39,0.1612,45,15.4
5693 (1993 EA),Apollo Asteroid (Hazard),57800,1.2709,0.5854,5.0546,258.8695,97.0603,76.8483,0.527,2.01,1.43,0.0056,235,16.6
5731 Zeus,Apollo Asteroid,57800,2.2626,0.6537,11.4283,217.0207,281.6875,77.9737,0.7835,3.74,3.4,0.0714,124,15.6
5751 Zao,Amor Asteroid,57800,2.1027,0.4238,16.0741,25.2563,121.6848,69.4145,1.2116,2.99,3.05,0.2441,192,14.8
5786 Talos,Apollo Asteroid,57800,1.0815,0.8268,23.2319,8.3524,161.3101,343.8139,0.1873,1.98,1.12,0.189,133,17.1
5797 Bivoj,Amor Asteroid,57800,1.8935,0.4441,4.1876,168.4532,298.9862,90.5986,1.0527,2.73,2.61,0.0708,56,18.8
5828 (1991 AM),Apollo Asteroid,57800,1.6978,0.695,30.1159,152.7374,125.4442,250.2158,0.5178,2.88,2.21,0.3971,140,16
5836 (1993 MF),Amor Asteroid,57800,2.4403,0.5363,7.9492,77.9905,238.7792,55.665,1.1315,3.75,3.81,0.1849,246,14.9
5863 Tara,Amor Asteroid,57800,2.2224,0.5055,19.4887,115.4457,168.933,53.9259,1.099,3.35,3.31,0.2369,196,15.8
5869 Tanith,Amor Asteroid,57800,1.8121,0.3211,17.9311,230.7476,227.912,181.262,1.2301,2.39,2.44,0.3108,126,17.2
5879 Almeria,Amor Asteroid,57800,1.6248,0.2893,21.5744,355.7026,145.8719,30.4156,1.1547,2.09,2.07,0.1678,25,17.4
6037 (1988 EG),Apollo Asteroid (Hazard),57800,1.2712,0.4996,3.4997,242.075,182.4807,124.385,0.6361,1.91,1.43,0.0242,68,18.7
6047 (1991 TB1),Apollo Asteroid,57800,1.4544,0.3521,23.4737,103.758,6.1247,109.171,0.9423,1.97,1.75,0.1403,96,17.8
6050 Miwablock,Amor Asteroid,57800,2.202,0.4371,6.4051,285.0314,88.1945,268.6759,1.2394,3.16,3.27,0.269,296,14.9
6053 (1993 BW3),Apollo Asteroid,57800,2.1467,0.5292,21.5827,74.8623,318.3337,284.8176,1.0106,3.28,3.15,0.2212,107,14.8
6063 Jason,Apollo Asteroid,57800,2.2124,0.7664,4.9206,337.1149,169.4352,343.6129,0.5169,3.91,3.29,0.0745,109,15.9
6178 (1986 DA),Amor Asteroid,57800,2.8227,0.5818,4.3052,127.3504,64.6467,191.664,1.1803,4.47,4.74,0.1908,75,15.1
6239 Minos,Apollo Asteroid (Hazard),57800,1.1515,0.4128,3.9429,239.6774,344.6074,150.438,0.6762,1.63,1.24,0.0265,171,18.5
6455 (1992 HE),Apollo Asteroid,57800,2.2407,0.5722,37.3442,262.7541,26.9571,127.2049,0.9586,3.52,3.35,0.2901,221,13.9
6456 Golombek,Amor Asteroid,57800,2.1924,0.4095,8.226,347.1014,313.6263,205.0747,1.2946,3.09,3.25,0.2816,148,15.9
6489 Golevka,Apollo Asteroid (Hazard),52219,2.5072,0.604,2.2781,65.9393,211.5969,213.8412,0.9928,4.02,3.97,0.0288,103,19.2
6491 (1991 OA),Amor Asteroid (Hazard),57800,2.5003,0.5907,5.9449,323.5837,301.9104,165.171,1.0233,3.98,3.95,0.0426,26,18.9
6569 Ondaatje,Amor Asteroid,57800,1.6262,0.2208,22.6384,167.2894,111.4947,138.2127,1.2672,1.99,2.07,0.2555,125,16.4
6611 (1993 VW),Apollo Asteroid,57800,1.696,0.4846,8.6967,281.3535,230.9553,145.8619,0.8742,2.52,2.21,0.0609,227,16.9
7025 (1993 QA),Apollo Asteroid,57800,1.4758,0.3149,12.6068,323.3899,146.6432,275.4832,1.011,1.94,1.79,0.0631,84,18.3
7088 Ishtar,Amor Asteroid,57800,1.981,0.3903,8.2993,354.7113,102.6802,2.0131,1.2077,2.75,2.79,0.2251,125,16.8
7092 Cadmus,Apollo Asteroid,57800,2.5344,0.6981,17.8117,93.8209,57.7057,68.4333,0.7651,4.3,4.03,0.0967,154,15.1
7236 (1987 PA),Amor Asteroid,57800,2.7227,0.5595,16.3346,337.8698,308.5344,213.4576,1.1993,4.25,4.49,0.201,38,18.3
7335 (1989 JA),Apollo Asteroid (Hazard),57800,1.7706,0.4841,15.1949,232.2494,61.3308,258.2099,0.9134,2.63,2.36,0.022,73,17
7336 Saunders,Amor Asteroid,57800,2.3051,0.4812,7.1956,181.4926,174.4955,297.398,1.1958,3.41,3.5,0.1919,86,18.8
7341 (1991 VK),Apollo Asteroid (Hazard),57800,1.8421,0.5065,5.4157,173.3443,294.8471,13.724,0.9091,2.78,2.5,0.0478,264,16.7
7350 (1993 VA),Apollo Asteroid,57800,1.356,0.3911,7.2602,336.6005,133.1383,236.0547,0.8257,1.89,1.58,0.0805,203,17.3
7358 Oze,Amor Asteroid,57800,2.2002,0.5019,4.6552,92.0408,265.596,225.4388,1.0959,3.3,3.26,0.1256,222,14.7
7474 (1992 TC),Amor Asteroid,57800,1.5658,0.2923,7.087,275.5777,88.6439,160.9035,1.1081,2.02,1.96,0.168,42,18
7480 Norwan,Amor Asteroid,57800,1.5679,0.3171,9.453,256.7689,124.4189,132.4449,1.0708,2.06,1.96,0.1619,154,17
7482 (1994 PC1),Apollo Asteroid (Hazard),57800,1.3463,0.3283,33.4861,47.6201,117.8944,281.279,0.9042,1.79,1.56,0.0001,95,16.8
7753 (1988 XB),Apollo Asteroid (Hazard),57800,1.4677,0.4819,3.1231,280.0831,73.4291,343.3754,0.7604,2.17,1.78,0.0066,137,18.6
7822 (1991 CS),Apollo Asteroid (Hazard),57800,1.1229,0.1647,37.1215,249.4088,156.867,22.8788,0.938,1.31,1.19,0.0234,190,17.4
7839 (1994 ND),Amor Asteroid,57800,2.1655,0.5184,27.1124,228.3236,102.5381,21.8216,1.0429,3.29,3.19,0.1372,36,17.9
7888 (1993 UC),Apollo Asteroid,57800,2.4359,0.6641,26.0812,323.0749,165.9214,17.9616,0.8183,4.05,3.8,0.0889,109,15.1
7889 (1994 LX),Apollo Asteroid,57800,1.2614,0.3462,36.9062,349.1434,111.2859,189.3783,0.8247,1.7,1.42,0.1543,242,15.2
7977 (1977 QQ5),Amor Asteroid,57800,2.2255,0.4667,25.1641,248.0994,134.1958,302.3017,1.1869,3.26,3.32,0.3558,130,15.1
8013 Gordonmoore,Amor Asteroid,57800,2.1999,0.4316,7.5683,146.712,105.5725,65.6183,1.2503,3.15,3.26,0.2471,150,17
8014 (1990 MF),Apollo Asteroid (Hazard),57800,1.7464,0.4561,1.8663,114.4013,210.2578,176.1982,0.9498,2.54,2.31,0.0171,56,18.7
8034 Akka,Amor Asteroid,57800,1.8301,0.409,2.0241,68.1661,232.8712,330.285,1.0817,2.58,2.48,0.0747,92,17.9
8035 (1992 TB),Apollo Asteroid,57800,1.3419,0.4624,28.3081,6.0498,185.643,38.724,0.7214,1.96,1.55,0.273,101,17.1
8037 (1993 HO1),Amor Asteroid,57800,1.9864,0.4178,5.9088,105.6951,22.471,225.637,1.1566,2.82,2.8,0.2009,141,16.4
8176 (1991 WA),Apollo Asteroid,57800,1.5749,0.6429,39.598,241.8713,66.5429,304.4533,0.5623,2.59,1.98,0.1938,104,16.9
8201 (1994 AH2),Apollo Asteroid,57800,2.5381,0.707,9.5549,25.1056,164.1234,236.733,0.7436,4.33,4.04,0.1017,90,15.8
8507 (1991 CB1),Apollo Asteroid,57800,1.6869,0.5945,14.5873,345.7576,317.4332,190.0629,0.684,2.69,2.19,0.2194,59,17.2
8566 (1996 EN),Apollo Asteroid (Hazard),57800,1.5064,0.4303,37.9741,125.1259,164.1449,37.409,0.8582,2.15,1.85,0.0207,78,16.3
8567 (1996 HW1),Amor Asteroid,57800,2.0452,0.4494,8.4508,177.2991,177.132,316.086,1.1261,2.96,2.92,0.1223,364,15.3
8709 Kadlu,Amor Asteroid,57800,2.5279,0.4894,3.5159,153.559,119.2629,216.3205,1.2908,3.76,4.02,0.2765,32,16.9
9058 (1992 JB),Apollo Asteroid,57800,1.5565,0.3596,16.0816,306.9924,218.3651,303.8172,0.9968,2.12,1.94,0.0849,40,17.9
9162 Kwiila,Apollo Asteroid,57800,1.4963,0.5954,9.0145,235.6461,180.1415,9.9025,0.6054,2.39,1.83,0.0812,71,17.9
9172 Abhramu,Amor Asteroid,57800,2.7058,0.5538,7.8473,74.0776,287.7128,59.073,1.2073,4.2,4.45,0.2489,52,16.4
9202 (1993 PB),Apollo Asteroid,57800,1.4238,0.6076,40.8242,212.3205,315.9342,40.6753,0.5588,2.29,1.7,0.3731,92,15.9
9400 (1994 TW1),Amor Asteroid,57800,2.5914,0.5785,36.0099,62.1155,3.4621,108.3655,1.0924,4.09,4.17,0.2925,195,14.9
9856 (1991 EE),Apollo Asteroid (Hazard),57800,2.2423,0.6259,9.8266,116.1562,168.165,212.8118,0.8389,3.65,3.36,0.0227,79,17.4
9950 ESA,Amor Asteroid,57800,2.4376,0.5327,14.5966,103.5649,253.5115,326.0033,1.1391,3.74,3.81,0.2809,131,16.2
10115 (1992 SK),Apollo Asteroid (Hazard),57800,1.2484,0.3248,15.3216,233.6246,8.9251,266.1795,0.8429,1.65,1.39,0.046,150,17
10145 (1994 CK1),Apollo Asteroid,57800,1.9001,0.6331,4.5493,27.3505,328.4899,15.2468,0.6972,3.1,2.62,0.0628,89,16.9
10150 (1994 PN),Amor Asteroid,57800,2.375,0.5437,45.952,234.0362,113.0078,33.6955,1.0838,3.67,3.66,0.2273,137,15.4
10165 (1995 BL2),Apollo Asteroid,57800,1.2347,0.5037,23.8947,348.4331,312.451,240.1816,0.6128,1.86,1.37,0.3749,91,17.3
10302 (1989 ML),Amor Asteroid,53667,1.2725,0.1365,4.3778,183.283,104.4088,125.9409,1.0987,1.45,1.44,0.0827,84,19.3
10563 Izhdubar,Apollo Asteroid,57800,1.007,0.2664,63.4626,132.2048,56.5645,255.3046,0.7387,1.28,1.01,0.1459,64,16.8
10636 (1998 QK56),Apollo Asteroid,57800,1.8841,0.5131,13.5632,286.1346,173.0923,12.4149,0.9173,2.85,2.59,0.1108,67,17.7
10860 (1995 LE),Amor Asteroid,57800,2.5774,0.5744,4.1499,75.4319,257.2847,69.5492,1.097,4.06,4.14,0.1134,25,17.2
11054 (1991 FA),Amor Asteroid,57800,1.9786,0.4474,3.077,92.1098,339.2283,162.926,1.0934,2.86,2.78,0.1217,237,17
11066 Sigurd,Apollo Asteroid,57800,1.3916,0.3753,36.8849,21.9887,349.25,193.9794,0.8693,1.91,1.64,0.1173,183,15.2
11284 Belenus,Amor Asteroid,57800,1.7402,0.3372,1.9924,170.9986,311.7922,282.2507,1.1533,2.33,2.3,0.1693,114,18.2
11311 Peleus,Apollo Asteroid,57800,2.1181,0.5355,25.4669,313.3308,59.3792,210.6328,0.9839,3.25,3.08,0.0977,55,16
11398 (1998 YP11),Amor Asteroid,57800,1.7205,0.389,15.0261,74.6406,144.8173,324.5408,1.0513,2.39,2.26,0.2027,205,16.3
11405 (1999 CV3),Apollo Asteroid,57800,1.4596,0.3938,22.8624,96.3286,141.2995,28.8985,0.8847,2.03,1.76,0.1191,297,15.2
11500 Tomaiyowit,Apollo Asteroid (Hazard),57800,1.0796,0.3558,10.3098,289.4572,234.4484,23.987,0.6955,1.46,1.12,0.0345,100,18.4
11885 Summanus,Apollo Asteroid,57800,1.7034,0.4746,19.4198,116.0706,359.8896,258.093,0.8949,2.51,2.22,0.0676,44,18.5
12538 (1998 OH),Apollo Asteroid (Hazard),57800,1.5415,0.4061,24.5289,321.7216,220.7487,315.3027,0.9155,2.17,1.91,0.0289,199,15.8
12711 Tukmit,Apollo Asteroid,57800,1.1864,0.2722,38.4853,322.8641,294.9891,315.5032,0.8634,1.51,1.29,0.1105,163,15.8
12923 Zephyr,Apollo Asteroid (Hazard),57800,1.9616,0.492,5.3044,147.0731,168.2132,127.4573,0.9964,2.93,2.75,0.0216,195,15.8
13553 Masaakikoyama,Amor Asteroid,57800,2.1888,0.4642,5.8744,109.9152,193.5259,201.0809,1.1727,3.21,3.24,0.1892,169,16.4
13651 (1997 BR),Apollo Asteroid (Hazard),57800,1.3353,0.3056,17.2477,133.7835,116.676,274.6006,0.9272,1.74,1.54,0.0137,106,17.6
